title	type	url_slug	venue	date	location	talk_url	description
A Multi-Stage Ab-initio Quantum Wavepacket Dynamics Formalism for Electronic Structure and Dynamics in Open Systems	Poster	mwtcc	42nd MidWest Theoretical Chemistry Conference	2010-07-01	West Lafayette, IN		
Quantum Wavepacket Ab-initio Molecular Dynamics Formalism for Calculating Electron Transport in Molecular Wires	Poster	actc-1	American Conference on Theoretical Chemistry Conference,	2008-07-22	Evanston, IL		
Study of the reactivity of OH radical adducts with isoprene in gas phase and adsorbed on an aerosol using Ab-Initio Molecular Dynamics.	Poster	actc-2	American Conference on Theoretical Chemistry Conference,	2008-07-22	Evanston, IL		
Quantum Wavepacket Ab-initio Molecular Dynamics Formalism for Calculating Electron Transport in Molecular Wires. 	Poster	mwtcc-1	40th MidWest Theoretical Chemistry Conference	2008-07-01	Ann Arbor, MI.		
Study of the reactivity of OH radical adducts with isoprene in gas phase and adsorbed on an aerosol using Ab-Initio Molecular Dynamics.	Poster	mwtcc-2	40th MidWest Theoretical Chemistry Conference	2008-07-01	Ann Arbor, MI.		
Quantum Wavepacket Ab-initio Molecular Dynamics Formalism for Calculating Electron Transport in Molecular Wires. 	Poster	mwtcc	39th MidWest Theoretical Chemistry Conference	2007-07-01	Bloomington, IN.		
Light Emission during Interactions of an Excited Alkali Atom inside or at the surface of a Noble Gas Atom Cluster: A Density Matrix Treatment. 	Poster	sanibel	46th Sanibel Symposium	2006-03-01	St. Simon’s Island, GA.		
Calculation of Light Absorption Intensities during Alkali Atom - Noble Gas Atom Interactions from a First Principles Dynamics.	Poster	sanibel	45th Sanibel Symposium	2005-03-01	St. Simon’s Island, GA.		
Dynamics of Light Emission during Alkali Atom - Rare Gas Atom Interactions: From Atom-Atom Collisions to Interactions in Clusters. 	Poster	sanibel	44th Sanibel Symposium	2004-03-01	St. Augustine, FL.		
First Principles Quantum Dynamics of Electronic Excitation and Spin-Orbit Recoupling in Alkali-Noble Gas Atom Interactions.	Poster	sanibel	43rd Sanibel Symposium	2003-03-01	St. Augustine, FL.		
Electronic State-to-State Collision Cross Sections using Transition Integrals.	Poster	sanibel	42nd Sanibel Symposium	2002-03-01	St. Augustine, FL.		
A Multi-Stage Ab-initio Wavepacket Dynamics Formalism for Electronic Structure and Dynamics in Open Systems. 	Talk	lsucct	Center for Computation and Technology, Louisiana State University	2010-06-10	Baton Rouge, LA,		
A Multi-Stage Ab-initio Wavepacket Dynamics Formalism for Electron Dynamics in Open Systems. 	Talk	mwtcc	41st MidWest Theoretical Chemistry Conference	2009-07-01	Carbondale, IL.		
Dissipative Femtosecond Dynamics of Electronically Excited Systems: A Density Matrix Approach. 	Contributed Talk	acs	Amer. Chem. Soc. National Meeting, 	2006-04-01	Atlanta, GA		
Time-Propagation of the Quantum-Classical Density Matrix for Electronically Excited Molecular Systems. 	Contributed Talk	acs	Amer. Chem. Soc. National Meeting, 	2004-04-01	Anaheim, CA		
Electronic Excitation and Spin-Orbit Recoupling Cross Sections for Alkali-Atom/Noble Gas-Atom Collisions from a First Principles Quantum Dynamics. 	Contributed Talk	aps	Amer. Phys. Soc. DAMOP Meeting, 	2003-03-01	Boulder, CO		
